image1,image2,label
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\2084473\035.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\2084473\038.jpg,1
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\2084473\035.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0616091\011.jpg,0
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0507659\019.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0507659\006.jpg,1
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0507659\019.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0220735\014.jpg,0
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\1801800\088.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\1801800\014.jpg,1
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\1801800\088.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\1387055\019.jpg,0
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\2554990\009.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\2554990\001.jpg,1
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\2554990\009.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0154215\010.jpg,0
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0502425\014.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0502425\180.jpg,1
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0502425\014.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0385029\020.jpg,0
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\2166432\012.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\2166432\005.jpg,1
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\2166432\012.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0372176\136.jpg,0
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\4423549\023.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\4423549\030.jpg,1
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\4423549\023.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\2520212\034.jpg,0
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\2118394\017.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\2118394\001.jpg,1
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\2118394\017.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\1098493\010.jpg,0
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0176175\020.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0176175\032.jpg,1
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0176175\020.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\2166432\007.jpg,0
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0327764\019.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0327764\001.jpg,1
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0327764\019.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0000238\011.jpg,0
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0436751\003.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0436751\027.jpg,1
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0436751\003.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\2000954\008.jpg,0
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0776090\014.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0776090\005.jpg,1
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0776090\014.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0461355\003.jpg,0
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0261678\037.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0261678\035.jpg,1
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0261678\037.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\1492784\042.jpg,0
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\3292846\041.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\3292846\001.jpg,1
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\3292846\041.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0553556\016.jpg,0
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\1068565\017.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\1068565\014.jpg,1
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\1068565\017.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0809049\008.jpg,0
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\3325268\011.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\3325268\004.jpg,1
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\3325268\011.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0000448\027.jpg,0
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0860419\003.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0860419\025.jpg,1
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0860419\003.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\2671397\002.jpg,0
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0340973\018.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0340973\013.jpg,1
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0340973\018.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\1760388\008.jpg,0
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\1265461\013.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\1265461\006.jpg,1
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\1265461\013.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0888559\002.jpg,0
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0200981\010.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0200981\007.jpg,1
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0200981\010.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0069079\052.jpg,0
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\1933992\001.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\1933992\014.jpg,1
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\1933992\001.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0724657\004.jpg,0
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\1172764\188.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\1172764\264.jpg,1
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\1172764\188.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0531595\010.jpg,0
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0072715\008.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0072715\016.jpg,1
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0072715\008.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0816435\006.jpg,0
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0419650\075.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0419650\049.jpg,1
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0419650\075.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0914089\016.jpg,0
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0297545\020.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0297545\008.jpg,1
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0297545\020.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0421063\018.jpg,0
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\1638022\025.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\1638022\027.jpg,1
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\1638022\025.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0369754\003.jpg,0
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\1935905\073.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\1935905\059.jpg,1
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\1935905\073.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0812954\007.jpg,0
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\1641251\010.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\1641251\024.jpg,1
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\1641251\010.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0645122\012.jpg,0
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\2319871\062.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\2319871\011.jpg,1
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\2319871\062.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0005281\042.jpg,0
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0080524\042.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0080524\084.jpg,1
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0080524\042.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0001558\016.jpg,0
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\3556158\036.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\3556158\003.jpg,1
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\3556158\036.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0629653\034.jpg,0
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\1075006\009.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\1075006\006.jpg,1
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\1075006\009.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\1617744\007.jpg,0
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\1732318\032.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\1732318\033.jpg,1
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\1732318\032.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\4831424\001.jpg,0
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\2375297\003.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\2375297\056.jpg,1
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\2375297\003.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0249525\022.jpg,0
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0438241\023.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0438241\016.jpg,1
C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\0438241\023.jpg,C:\Users\Mert\Desktop\keras-facenet\CASIA-WebFace\1353018\001.jpg,0
